Genus,Species,Analogue,SitePair,Type,UrchinID,Condition,Abs_lat,UrchinID,TestDiameter,ThicknessCT(um),Mean_intensity,Voxel_size,Porosity,MgCO3,Spine_length,Spine_diameter,Spine_porosity,Jaw_length,UrchinID
Arbacia,lixula,Cave,Cave,Seep,A-GM-V6,Extreme,40.712,A-GM-V6,53.382,892.267333,39630.4,2.67423,51.2952692,,20.76,1165.847,34.7707485,14.3,A-GM-V6
Arbacia,lixula,Cave,Cave,Seep,A-GM-V7,Extreme,40.712,A-GM-V7,46.317,748.020333,40164.7,2.38977,46.7916335,,19.68,1100,,15.7,A-GM-V7
Arbacia,lixula,Cave,Cave,Seep,A-GM-V8,Extreme,40.712,A-GM-V8,34.008,722.253,37077.7,2.3857,36.4357207,9.44557823,21.234,1332.549,43.4667699,12.0,A-GM-V8
Echinometra,sp. EZ,Shikine,Shikine,Seep,S-C1,Reference,34.3258,C1,32.36866667,848.377,38293,2.244,28.413,14.153,16.34,1723.486,27.190396,10.1,C1
Echinometra,sp. A,Shikine,Shikine,Seep,S-C2,Reference,34.3258,C2,30.689,761.74,29673.7,2.244,33.278,13.629,16.16,1503.933,31.727847,10.8,C2
Echinometra,sp. A,Shikine,Shikine,Seep,S-C3,Reference,34.3258,C3,47.31333333,968.148,35603.8,2.7416,27.832,,14.65,1897.842,20.322482,12.5,C3
Echinometra,sp. EZ,Shikine,Shikine,Seep,S-C5,Reference,34.3258,C5,34.08033333,907.258,38391.3,2.4680,30.426,13.786,18.95,1929.517,31.829387,11.2,C5
Echinometra,sp. A,Shikine,Shikine,Seep,S-C7,Reference,34.3258,C7,30.11533333,732.865,31294.6,2.244,28.156,,15.58,1514.544,33.748262,9.4,C7
Echinometra,sp. EZ,Shikine,Shikine,Seep,S-C8,Reference,34.3258,C8,28.97166667,687.795,40443.3,2.224,35.617,13.629,14.00,1648.994,24.85992,8.0,C8
Echinometra,sp. EZ,Shikine,Shikine,Seep,S-C9,Reference,34.3258,C9,27.18133333,820.127,38924.5,2.0575,31.927,13.915,16.00,1515.049,31.539025,8.4,C9
Echinometra,sp. A,Shikine,Shikine,Seep,S-C10,Reference,34.3258,C10,22.33266667,626.023,38695.4,1.8994,31.206,13.830,13.38,1379.806,21.80249,6.5,C10
Echinometra,sp. EZ,Shikine,Shikine,Seep,S-C11,Reference,34.3258,C11,31.82466667,752.356,37481,2.2431,32.552,13.993,15.59,1456.308,22.95517,10.1,C11
Echinometra,sp. A,Shikine,Shikine,Seep,S-C12,Reference,34.3258,C12,33.73,972.199,33218.6,2.740,29.604,13.707,14.88,1615.467,22.37162,10.2,C12
Echinometra,sp. A,Shikine,Shikine,Seep,S-C13,Reference,34.3258,C13,39.601,770.054,39310.5,2.740,35.144,12.997,15.40,1660.514,24.5781,12.7,C13
Echinometra,sp. A,Shikine,Shikine,Seep,S-C14,Reference,34.3258,C14,27.79166667,728.821,39155.1,2.2428,30.355,13.605,13.61,1360.894,28.78765,9.1,C14
Echinometra,sp. A,Shikine,Shikine,Seep,S-C15,Reference,34.3258,C15,34.07133333,824.581,38109.8,2.4662,30.761,,15.56,1613.671,36.871824,9.5,C15
Echinometra,sp. A,Shikine,Shikine,Seep,S-C16,Reference,34.3258,C16,27.40033333,521.215,33281.4,2.0561,31.876,,16.94,1504.616,23.49452,8.1,C16
Echinometra,sp. EZ,Shikine,Shikine,Seep,S-H1,Extreme,34.3258,H1,17.52633333,373.825,35094,1.5430,39.283,,10.19,1054.2,29.394316,5.5,H1
Echinometra,sp. EZ,Shikine,Shikine,Seep,S-H2,Extreme,34.3258,H2,23.01966667,515.144,40909.8,1.8978,36.855,14.092,14.28,1314.39,35.59146,7.6,H2
Echinometra,sp. A,Shikine,Shikine,Seep,S-H3,Extreme,34.3258,H3,20.20166667,502.467,35653.8,1.8978,42.808,14.020,11.30,1170.288,28.447311,6.0,H3
