Genus,Species,Analogue,Site,Type,UrchinID,Condition,Abs_lat,UrchinID,TestDiameter,ThicknessCT(um),Mean_intensity,Voxel_size,Porosity,MgCO3,Spine_length,Spine_diameter,Spine_diameter,Spine_porosity,Jaw_length,UrchinID
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-V4,Extreme,40.731159,A-CS-V4,51.099,1064.216,33695.5,3.2156,47.58994,11.2925170068027,21.4986,1.417,1416.783,41.1584082,16.9,A-CS-V4
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-V5,Extreme,40.731159,A-CS-V5,38.613,672.264667,41205.9,2.1584,50.438788,10.5952381,19.394,1.292,1291.952,28.8525536,13.7,A-CS-V5
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-V6,Extreme,40.731159,A-CS-V6,37.678,724.097,39095.2,2.4143,42.4653184,10.962585,20.407,1.435,1434.857,38.3229651,13.4,A-CS-V6
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-V7,Extreme,40.731159,A-CS-V7,31.425,688.890667,37829.7,2.0446,54.0380891,11.5102041,18.930,1.199,1198.6,,10,A-CS-V7
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-V8,Extreme,40.731159,A-CS-V8,35.645,794.738333,39474.8,2.228,60.6769572,,15.951,1.392,1392.4,,10.9,A-CS-V8
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-V1,Extreme,40.731159,P-CS-V1,43.254,555.301,37898,2.8742,50.361762,10.4455782312925,14.1886,1.016,1016.494,19.2284047,10.1,P-CS-V1
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-V2,Extreme,40.731159,P-CS-V2,41.808,602.299,38464.9,2.8745,49.62061,11.7244898,16.507,1.159,1159.418,19.4560333,9.6,P-CS-V2
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-V3,Extreme,40.731159,P-CS-V3,31.649,570.584,36464.6,2.4609,45.396076,11.0578231,12.9996,1.045,1044.802,19.2067011,7.6,P-CS-V3
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-V4,Extreme,40.731159,P-CS-V4,28.355,470.675,32577.6,2.598,54.3582509,11.9761904761905,11.701,0.882,882.008,24.1958416,7,P-CS-V4
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-V5,Extreme,40.731159,P-CS-V5,29.656,460.646,38567.1,2.5982,49.5126861,12.2687074829932,10.145,0.944,944.055,18.5188258,7.1,P-CS-V5
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-V6,Extreme,40.731159,P-CS-V6,26.519,357.817333,37723,2.04395,47.1238943,11.4761905,11.560,0.865,864.8,,5.8,P-CS-V6
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-V7,Extreme,40.731159,P-CS-V7,26.612,480.33,39853,2.414,52.146475,12.2789116,12.2282,0.944,943.579,21.1478593,6.8,P-CS-V7
Paracentrotus,lividus,Castello South,Castello South,Seep,P-CS-V8,Extreme,40.731159,P-CS-V8,25.538,383.537,35470,1.63781,43.8994426,,10.195,0.873,872.8,,6.7,P-CS-V8
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-C1,Reference,40.718,A-R-C1,49.316,935.572,24063,2.3853,34.02745,10.5510204081633,19.827,1.427,1427.098,37.4535171,15.7,A-R-C1
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-C2,Reference,40.718,A-R-C2,52.807,673.399667,37207.5,2.3853,36.2711447,,21.8732,1.21,1210.455,30.0883028,16.1,A-R-C2
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-C3,Reference,40.718,A-R-C3,65.424,890.709,36390.3,2.3853,41.12278,,23.4814,1.416,1416.124,34.1217361,19.6,A-R-C3
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-C4,Reference,40.718,A-R-C4,51.1,827.523333,22670.5,2.3853,36.0975396,,20.534,1.27,1269.911,37.4101842,16.1,A-R-C4
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-C5,Reference,40.718,A-R-C5,52.575,711.306,39160.5,2.31664,44.3319222,,21.0682,1.305,1305.488,37.2455472,16.2,A-R-C5
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-C6,Reference,40.718,A-R-C6,49.236,793.891,37530.8,2.3854,37.3885268,11.5102040816327,22.9652,1.343,1343.159,30.2471336,16.8,A-R-C6
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-C7,Reference,40.718,A-R-C7,41.027,665.890667,35973.7,2.18038,34.0777706,,21.2522,1.32,1320,,12.7,A-R-C7
Arbacia,lixula,Chiane del Lume,Chiane del Lume,Seep,A-R-C8,Reference,40.718,A-R-C8,49.401,712.045,37462.2,2.1351,50.9787,9.79931972789116,20.6058,1.323,1323.2,,14.7,A-R-C8
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-C1,Reference,40.718,P-R-C1,77.868,762.94,36742.6,3.1762,39.88246,,18.8904,1.245,1244.572,19.8529258,15.5,P-R-C1
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-C2,Reference,40.718,P-R-C2,74.522,694.612,37098.7,3.1761,45.67878,,19.001,1.382,1381.574,15.2539939,14.5,P-R-C2
Paracentrotus,lividus,Chiane del Lume,Chiane del Lume,Seep,P-R-C3,Reference,40.718,P-R-C3,69.364,771.587,39381.9,3.1763,35.95531,,18.3736,1.24,1239.8,,14.3,P-R-C3
